dx,opname,optype,approach,position,count
Ovarian cyst ,Salpingo-oophorectomy,Minor resection,Videoscopic,Lithotomy,1
thymoma ,Metastasectomy,Minor resection,Videoscopic,Left lateral decubitus,1
Breast cancer unspecified side,Breast-conserving surgery,Breast,Open,Reverse Trendelenburg,1
Thyroid nodule ,Adrenalectomy,Others,Videoscopic,Left lateral decubitus,1
"Colon cancer, transverse",Hemicolectomy,Colorectal,Videoscopic,Trendelenburg,1
"Small intestine perforation, nontraumatic",Exploratory laparotomy,Others,Open,Supine,1
Rectal cancer ,Excision,Colorectal,Open,Prone,1
"Malignant thymoma, type B1",Excision,Others,Videoscopic,Right lateral decubitus,1
Alcoholic liver cirrhosis without ascites,Liver transplantation,Transplantation,Open,Supine,1
Colonic pseudoobstruction,Colostomy,Colorectal,Open,Supine,1
Hepatocellular carcinoma ,Liver sectionectomy,Hepatic,Open,Lithotomy,1
Cecal cancer ,Ileocecectomy,Colorectal,Open,Supine,1
Ground-glass opacity,Lung sgmentectomy,Minor resection,Videoscopic,Right lateral decubitus,1
"Ovarian cyst torsion, right",Ovarian cystectomy,Major resection,Videoscopic,Lithotomy,1
Kidney donor ,Donor nephrectomy,Transplantation,Videoscopic,Left lateral decubitus,1
Myoma uteri ,Myomectomy,Minor resection,Open,Supine,1
Accessory breast,Wide excision,Others,Open,Supine,1
Gallbladder cancer,Excision,Biliary/Pancreas,Open,Supine,1
Choledochal cyst ,Choledochal cyst excision,Biliary/Pancreas,Robotic,Supine,1
Other appendicitis,Appendectomy,Colorectal,Videoscopic,Supine,1
Neurogenic tumor,Excision,Others,Open,Lithotomy,1
Colon cancer ,Exploratory laparotomy,Others,Open,Lithotomy,1
Metastasis of unknown origin ,Exploratory laparotomy,Others,Open,Lithotomy,1
Colonic polyp,Anal fistulotomy,Colorectal,Open,Prone,1
Epithelial-myoepithelial carcinoma ,Simple mastectomy,Breast,Open,Supine,1
Carcinoma in situ of colon,Ileostomy repair,Colorectal,Open,Supine,1
Pseudomyxoma peritonei ,Exploratory laparotomy,Others,Open,Supine,1
Fulminant hepatitiswithout coma,Liver transplantation,Transplantation,Open,Supine,1
Fibrous dysplasia of bone site unspecified,Excision,Others,Open,Right lateral decubitus,1
Fibrothorax,Decortication,Others,Videoscopic,Right lateral decubitus,1
Biliary atresia ,Arteriovenous fistula thrombectomy,Vascular,Open,Supine,1
Mental retardation,Hemorrhoidectomy,Colorectal,Open,Prone,1
"Left inguinal hernia, Not specified as recurrent",Hernia repair,Colorectal,Open,Supine,1
"Mucinous cystadenocarcinoma of pancreas, non-invasive",Pylorus preserving pancreaticoduodenectomy,Biliary/Pancreas,Robotic,Supine,1
Colonic polyp ,Hemicolectomy,Colorectal,Open,Supine,1
Colorectal cancer ,Incisional hernia repair,Colorectal,Open,Supine,1
Pelvic mass ,Hartmann procedure,Colorectal,Open,Lithotomy,1
Epiphrenic diverticulum ,Diverticulectomy,Others,Videoscopic,Prone,1
"Mediastinal bronchogenic cyst, acquried",Excision,Others,Videoscopic,Left lateral decubitus,1
"Liver retransplantation, living donor",Closure of wound,Others,Open,Supine,1
Carcinoma in situ of rectum,Anterior resection,Colorectal,Open,Lithotomy,1
"Abnormal chest CT, lung nodule",Exploration,Others,Videoscopic,Right lateral decubitus,1
Abnormal finding on lung imaging,Lung sgmentectomy,Minor resection,Videoscopic,Left lateral decubitus,1
Metastatic cancer to the lung,Biopsy,Minor resection,Videoscopic,Right lateral decubitus,1
Mediastinal large B-cell lymphoma,Excision,Others,Videoscopic,Left lateral decubitus,1
Renal cell carcinoma right,Adrenalectomy,Major resection,Robotic,Supine,1
Intraductal papilloma of female breast right,Breast-conserving surgery,Breast,Open,Supine,1
Mediastinal cyst ,Excision,Others,Open,Left lateral decubitus,1
Gallbladder polyp ,Cholecystectomy,Biliary/Pancreas,Videoscopic,Reverse Trendelenburg,1
Disorder of kidney and ureter ,Nephrectomy,Major resection,Videoscopic,Right lateral decubitus,1
Pneumothorax,Lung wedge resection,Minor resection,Videoscopic,Left lateral decubitus,1
Lung cancer right,Pneumonectomy,Major resection,Open,Left lateral decubitus,1
Lung cancer left,Debridement of wound,Others,Open,Right lateral decubitus,1
"Neuroendocrine tumor of pancreas, G1",Partial pancreatectomy,Biliary/Pancreas,Open,Supine,1
Colorectal cancer,Anterior resection,Colorectal,Videoscopic,Supine,1
Alveolar soft part sarcoma ,Metastasectomy,Minor resection,Videoscopic,Right lateral decubitus,1
"Cervical cancer, stage 1B1",Modified radical hysterectomy,Major resection,Robotic,Lithotomy,1
Myoma uteri,Extended hysterectomy,Major resection,Videoscopic,Trendelenburg,1
Early gastric cancer,Proximal gastrectomy,Stomach,Robotic,Supine,1
Septic shock ,Exploratory laparotomy,Others,Open,Supine,1
Bladder disease,Transurethral resection of bladder tumor,Minor resection,Videoscopic,Lithotomy,1
Lung cancer right,Lung wedge resection,Minor resection,Videoscopic,Right lateral decubitus,1
Metastatic cancer to the liver,Liver sectionectomy,Hepatic,Open,Lithotomy,1
Liver donor,Liver transplantation,Transplantation,Open,Lithotomy,1
Tuberculous peritonitis,Peritoneal mass excision,Others,Videoscopic,Supine,1
"Epithelial ovarian cancer, stage 4 unspecified side",Debulking surgery,Major resection,Open,Supine,1
"Colon cancer, splenic flexure",Hemicolectomy,Colorectal,Open,Lithotomy,1
"Aneurysm, abdominal aorta",Embolectomy,Vascular,Open,Supine,1
Empyema with bronchopleural fistula,Debridement of wound,Others,Open,Right lateral decubitus,1
Bacteremia,Revision of arteriovenous fistula,Vascular,Open,Supine,1
"Colon cancer, hepatic flexure",subtotal colectomy,Colorectal,Videoscopic,Lithotomy,1
Endocrine tumor,Liver segmentectomy,Hepatic,Open,Supine,1
"Intraductal papillary mucinous neoplasm of pancreas, borderline",Distal pancreatectomy,Biliary/Pancreas,Videoscopic,Supine,1
"Colon cancer, splenic flexure",Subtotal colectomy,Colorectal,Open,Lithotomy,1
"Ruptured aneurysm, thoracoabdominal aorta",Exploratory laparotomy,Others,Open,Supine,1
Ureter cancer unspecified side,Ileostomy,Colorectal,Open,Supine,1
Secondary pneumothorax,Lung wedge resection,Minor resection,Videoscopic,Right lateral decubitus,1
Pancreatic cyst ,Pylorus preserving pancreaticoduodenectomy,Biliary/Pancreas,Robotic,Supine,1
Alcoholic liver cirrhosis with ascites,Liver transplantation,Transplantation,Open,Lithotomy,1
Stomach cancer unspecified,Incisional hernia repair,Colorectal,Videoscopic,Supine,1
Abnormal finding on lung imaging ,Biopsy,Minor resection,Videoscopic,Left lateral decubitus,1
"Hyperhidrosis, palmar",Thoracic sympathectomy,Others,Videoscopic,Supine,1
Gallbladder stone with chronic cholecystitis without obstruction,Cholecystectomy,Biliary/Pancreas,Videoscopic,Supine,1
Abnormal electrocardiogram,Incisional hernia repair,Colorectal,Open,Supine,1
Colostomy status,Hartmann procedure,Colorectal,Open,Supine,1
"Septic arthritis, knee",Delorme's operation,Colorectal,Open,Prone,1
Small intestinal cancer,Exploratory laparotomy,Others,Open,Lithotomy,1
Primary hyperoxaluria,Exploratory laparotomy,Others,Open,Supine,1
Leiomyomatosis,Excision,Others,Videoscopic,Lithotomy,1
Lymphadenopathy,Axillary lymph node dissection,Breast,Open,Supine,1
Advanced gastric cancer ,Gastrojejunostomy,Stomach,Videoscopic,Supine,1
Colon cancer,Transverse colectomy,Colorectal,Open,Lithotomy,1
"Colon cancer, splenic flexure",Extended hemicolectomy,Colorectal,Videoscopic,Lithotomy,1
Metastatic cancer to the lung unspecified side,Metastasectomy,Minor resection,Open,Left lateral decubitus,1
"Tubular adenoma, duodenum",Excision,Stomach,Open,Supine,1
Myoma uteri,Hysterectomy,Major resection,Robotic,Lithotomy,1
"Colon cancer, descending",Anterior resection,Colorectal,Open,Supine,1
"Carcinoid tumor, unspecified site",Low anterior resection,Colorectal,Open,Lithotomy,1
Mucinous carcinoma of breast right,Simple mastectomy,Breast,Open,Supine,1
"Early gastric cancer, adenocarcinoma",Partial gastrectomy,Stomach,Open,Supine,1
Esophageal cancer,Exploration of wound,Others,Open,Right lateral decubitus,1
"Tubular adenoma, colon",Hemicolectomy,Colorectal,Open,Lithotomy,1
Metastatic cancer to the lung left,Lung sgmentectomy,Minor resection,Videoscopic,Right lateral decubitus,1
Lipoma,Excision,Others,Open,Prone,1
Ovarian cyst ,Salpingo-oophorectomy,Minor resection,Videoscopic,Supine,1
Abnormal electrocardiogram,Ligation and stripping,Vascular,Open,Prone,1
Gallbladder cancer ,Cholecystectomy,Biliary/Pancreas,Videoscopic,Supine,1
Cervical cancer unknown stage ,Exploratory laparotomy,Others,Open,Lithotomy,1
solitary pulmonary nodule ,Lung wedge resection,Minor resection,Videoscopic,Left lateral decubitus,1
Epithelial ovarian cancer unknown stage unspecified side,Ovarian cancer staging operation,Major resection,Open,Lithotomy,1
Adenocarcinoma of rectum,Abdominoperineal resection,Colorectal,Open,Lithotomy,1
Sclerosing cholangitis,Liver transplantation,Transplantation,Open,Supine,1
"Malignant thymoma, type B1",Metastasectomy,Minor resection,Videoscopic,Left lateral decubitus,1
Postoperative empyema ,Debridement of wound,Others,Videoscopic,Right lateral decubitus,1
Appendix disease ,Appendectomy,Colorectal,Open,Supine,1
Liposarcoma,Exploratory laparotomy,Others,Open,Supine,1
Lung cancer right,Bleeding control,Others,Videoscopic,Right lateral decubitus,1
Cervical cancer unknown stage,Radical hysterectomy,Major resection,Videoscopic,Trendelenburg,1
Epidermal cyst,Excision,Others,Open,Prone,1
Small cell lung cancer right,Lung lobectomy,Major resection,Open,Left lateral decubitus,1
Rectovaginal fistula,Excision,Colorectal,Open,Prone,1
Advanced gastric cancer,Closure of wound,Others,Open,Supine,1
Gallbladder cancer,Extended hemihepatectomy,Hepatic,Open,Supine,1
Malignant pericardial effusion ,Pericardial window operation,Others,Videoscopic,Supine,1
Intrahepatic duct stone without obstruction,Liver sectionectomy,Hepatic,Videoscopic,Reverse Trendelenburg,1
Malignant neoplasm of pancreas,Distal pancreatectomy,Biliary/Pancreas,Open,Supine,1
Dedifferentiated liposarcoma,Excision,Others,Open,Supine,1
Postoperative empyema ,Debridement of wound,Others,Videoscopic,Supine,1
"Neuroendocrine tumor of pancreas, G3",Distal pancreatectomy,Biliary/Pancreas,Open,Supine,1
Type 2 diabetes mellitus with diabetic foot ulcer and gangrene,Endarterectomy,Vascular,Open,Supine,1
Lymphadenopathy ,Biopsy,Others,Videoscopic,Left lateral decubitus,1
Empyema with bronchopleural fistula ,Decortication,Others,Open,Right lateral decubitus,1
Gastrointestinal stromal tumor of rectum,Transanal endoscopic microsurgery,Colorectal,Open,Prone,1
Langerhans cell histiocytosis,Excision,Others,Open,Right lateral decubitus,1
Adenocarcinoma of colon,Hemicolectomy,Colorectal,Videoscopic,Lithotomy,1
Kidney donor,Donor nephrectomy,Transplantation,Videoscopic,Left kidney,1
Umbilical hernia,Hernia repair,Colorectal,Open,Lithotomy,1
rectal cancer,Exploratory laparotomy,Others,Open,Lithotomy,1
Xanthogranulomatous cholecystitis,Cholecystectomy,Biliary/Pancreas,Videoscopic,Supine,1
Melanoma,Excision,Others,Open,Supine,1
End stage renal disease,Removal of permanent catheter,Vascular,Open,Supine,1
chronic renal failure ,Removal of continuous ambulatory peritoneal dialysis catheter,Vascular,Open,Supine,1
Colonic polyp ,Hemicolectomy,Colorectal,Videoscopic,Lithotomy,1
"Epithelial ovarian cancer, stage 3B unspecified side",Exploratory laparotomy,Others,Open,Supine,1
Malignant melanoma,Exploratory laparotomy,Others,Open,Supine,1
Benign neoplasm of retroperitoneum,Excision,Others,Open,Lithotomy,1
Stomach cancer unspecified,Subtotal gastrectomy,Stomach,Open,Supine,1
Drug-induced diabetes mellitus,Arteriovenous fistula,Vascular,Open,Supine,1
"Duodenal submucosal tumor, benign",Small bowel segmental resection,Stomach,Open,Supine,1
Diabetes mellitus,Distal gastrectomy,Stomach,Videoscopic,Supine,1
"Atypical lobular hyperplasia, breast",Wide excision,Others,Open,Supine,1
Colon perforation,Exploratory laparotomy,Others,Open,Supine,1
Hepatocellular carcinoma ,Liver tumorectomy,Hepatic,Open,Supine,1
infiltrating lobular carcinoma of breast,Mastectomy,Breast,Open,Supine,1
Squamous cell carcinoma of lung right,Lung lobectomy,Major resection,Videoscopic,Supine,1
Lung cancer left,Excision,Others,Videoscopic,Right lateral decubitus,1
"Gastric ulcer, chronic with perforation",Exploratory laparotomy,Others,Open,Supine,1
"Colon cancer, rectosigmoid",Hartmann procedure,Colorectal,Open,Lithotomy,1
hepatocellular carcinoma,Liver segmentectomy,Hepatic,Videoscopic,Supine,1
Acute appendicitis,Appendectomy,Colorectal,Videoscopic,Lithotomy,1
Lung cancer,Lung sgmentectomy,Minor resection,Videoscopic,Left lateral decubitus,1
Abnormal finding on lung imaging ,Sleeve lobectomy,Major resection,Open,Right lateral decubitus,1
"Neoplasm of retroperitoneum, uncertain behavior",Excision,Others,Open,Supine,1
Rectal cancer,Hernia repair,Colorectal,Open,Supine,1
Postoperative bleeding,Bleeding control,Others,Open,Supine,1
Cecal cancer,Ileocecectomy,Colorectal,Open,Supine,1
Liver transplantation ,Incisional hernia repair,Colorectal,Open,Supine,1
Epithelial ovarian cancer unknown stage,Salpingo-oophorectomy,Minor resection,Videoscopic,Lithotomy,1
Splenic disease ,Splenectomy,Biliary/Pancreas,Videoscopic,Right lateral decubitus,1
Multiple endocrine neoplasia type 1,Incisional hernia repair,Colorectal,Open,Supine,1
Krukenberg tumor unspecified side,Salpingo-oophorectomy,Colorectal,Open,Lithotomy,1
Breast cancer right,Wide excision,Others,Open,Supine,1
Pericardial effusion,Pericardial window operation,Others,Open,Left lateral decubitus,1
Common bile duct stone with obstruction,Choledochoscopic bile duct stone removal,Biliary/Pancreas,Videoscopic,Supine,1
Invasive breast cancer left,Breast-conserving surgery,Breast,Open,Supine,1
Leiomyosarcoma ,Bullectomy,Minor resection,Videoscopic,Left lateral decubitus,1
Colorectal cancer,Low anterior resection,Colorectal,Open,Supine,1
"Common bile duct cancer, middle",Pancreaticoduodenectomy,Biliary/Pancreas,Open,Supine,1
Myoma uteri ,Hysterectomy,Major resection,Videoscopic,Lithotomy,1
Rectal cancer ,Ileostomy,Colorectal,Open,Supine,1
Rectal prolapse,Rectal prolapse operation,Colorectal,Open,Prone,1
Metastatic cancer to the thyroid,Modified radical neck dissection,Others,Robotic,Supine,1
Pancreatic disease ,Exploratory laparotomy,Others,Open,Supine,1
Pyriform sinus cancer ,Metastasectomy,Minor resection,Videoscopic,Left lateral decubitus,1
Neuroendocrine carcinoma of pancreas ,Distal pancreatectomy,Biliary/Pancreas,Open,Reverse Trendelenburg,1
Foreign body in anus and rectum ,Removal of staples,Others,Open,Prone,1
"Ductal carcinoma in situ of breast, non-comedo type unspecified side",Breast-conserving surgery,Breast,Open,Supine,1
"Neoplasm of ovary, uncertain behavior right",Excision,Colorectal,Open,Lithotomy,1
lung cancer ,Lung sgmentectomy,Minor resection,Videoscopic,Right lateral decubitus,1
Primary aldosteronism,Adrenalectomy,Others,Videoscopic,Right lateral decubitus,1
Gallbladder cancer,Metastasectomy,Minor resection,Videoscopic,Right lateral decubitus,1
Appendix mucocele,Cecectomy,Colorectal,Videoscopic,Supine,1
Breast cancer left,Internal mammary lymph node dissection,Others,Videoscopic,Left lateral decubitus,1
Giant bullae of lung ,Bullectomy,Minor resection,Videoscopic,Right lateral decubitus,1
Unspecified gastric cancer,Diagnostic laparoscopy,Others,Videoscopic,Supine,1
Lymph node metastasis ,Radical excision of iliac lymph nodes,Colorectal,Open,Supine,1
Anastomosis site stricture,Hartmann procedure,Colorectal,Open,Lithotomy,1
"Graft versus host disease, chronic",Lung transplantation,Transplantation,Open,Supine,1
Metastatic cancer to the abdomen,Excision,Others,Open,Supine,1
Myoma uteri,Total hysterectomy ,Major resection,Open,Supine,1
"Neuroendocrine tumor of pancreas, G2",Gastrojejunostomy,Stomach,Open,Supine,1
Gallbladder polyp,Cholecystectomy,Biliary/Pancreas,Robotic,Reverse Trendelenburg,1
Spinal cord injury,Colostomy,Colorectal,Open,Supine,1
Chronic hepatitis B,Liver segmentectomy,Hepatic,Videoscopic,Lithotomy,1
Anal disease,Excision,Colorectal,Open,Prone,1
thymoma ,Pleurectomy,Others,Videoscopic,Right lateral decubitus,1
rectal cancer ,Transverse loop colostomy,Colorectal,Open,Supine,1
Graves' disease without thyrotoxic crisis,Total thyroidectomy,Thyroid,Open,Supine,1
Intraductal carcinoma in situ of breast right,Breast-conserving surgery,Breast,Open,Supine,1
Perineal laceration,Sphincteroplasty,Colorectal,Open,Prone,1
Postnasal drip syndrome,Adrenalectomy,Others,Videoscopic,Right lateral decubitus,1
Esophageal cancer,Adhesiolysis,Others,Videoscopic,Supine,1
Deformity of breast,Resection of chest wall with reconstruction,Others,Open,Supine,1
Lymph node metastasis,Regional lymph node dissection,Others,Open,Lithotomy,1
Intestinal obstruction,Ileostomy,Colorectal,Open,Supine,1
Common bile duct cancer,Segmental resection of bile duct,Biliary/Pancreas,Open,Supine,1
Interstitial lung disease,Biopsy,Others,Videoscopic,Left lateral decubitus,1
Early gastric cancer,Extended total gastrectomy,Stomach,Videoscopic,Supine,1
"Abnormal chest CT, lung",Lung sgmentectomy,Minor resection,Videoscopic,Left lateral decubitus,1
Breast cancer left,Biopsy,Minor resection,Videoscopic,Right lateral decubitus,1
Metastatic cancer to the abdominal cavity,Excision,Others,Open,Supine,1
Rectal cancer ,Hartmann procedure,Colorectal,Open,Supine,1
"Abnormal chest CT, lung",Excision,Others,Videoscopic,Right lateral decubitus,1
Lymph node enlargement,Biopsy,Others,Open,Supine,1
Lymph node metastasis ,Mediastinal lymph node dissection,Others,Open,Left lateral decubitus,1
Gallbladder cancer,Exploratory laparotomy,Others,Open,Supine,1
Hirschsprung's disease ,Transanal excision,Colorectal,Open,Supine,1
Bladder cancer ,Radical cystectomy,Major resection,Open,Supine,1
Lung cancer right,Exploration,Others,Videoscopic,Supine,1
Common bile duct cancer ,Pylorus preserving pancreaticoduodenectomy,Biliary/Pancreas,Robotic,Prone,1
Anal cancer,Inguinal lymph node dissection,Colorectal,Open,Supine,1
Endometrial cancer unknown stage,Radical hysterectomy,Major resection,Videoscopic,Supine,1
Benign neoplasm of retroperitoneum,Excision,Colorectal,Open,Supine,1
Metastatic cancer to the abdominal cavity ,Exploratory laparotomy,Others,Open,Supine,1
Abdominopelvic abscess,Exploratory laparotomy,Others,Open,Supine,1
"Abnormal chest CT, lung",Biopsy,Minor resection,Videoscopic,Left lateral decubitus,1
Esophageal cancer,Debridement of wound,Others,Open,Supine,1
Hepatocellular carcinoma,Wound revision,Others,Open,Supine,1
Gallbladder disease,Cholecystectomy,Biliary/Pancreas,Videoscopic,Reverse Trendelenburg,1
Gastrointestinal stromal tumor of small intestine,Small bowel segmental resection,Stomach,Videoscopic,Lithotomy,1
Pancreatic ductal carcinoma,Pylorus preserving pancreaticoduodenectomy,Biliary/Pancreas,Open,Supine,1
renal cell carcinoma ,Metastasectomy,Minor resection,Videoscopic,Left lateral decubitus,1
Abnormal finding on lung imaging,Lung sgmentectomy,Minor resection,Videoscopic,Right lateral decubitus,1
Endometrial cancer unknown stage,Lung lobectomy,Major resection,Videoscopic,Left lateral decubitus,1
Lobular carcinoma in situ of breast unspecified side,Excision,Others,Open,Supine,1
Krukenberg tumorunspecified side,Exploratory laparotomy,Others,Open,Lithotomy,1
Early gastric cancer (C1690),Distal gastrectomy,Stomach,Robotic,Supine,1
Rectovaginal fistula,Fistulectomy,Colorectal,Open,Prone,1
Biliary stricture,Exploratory laparotomy,Others,Open,Supine,1
Liposarcoma,Debulking surgery,Others,Open,Lithotomy,1
"Early gastric cancer, adenocarcinoma",Proximal gastrectomy,Stomach,Videoscopic,Lithotomy,1
biliary cystadenocarcinoma,Liver segmentectomy,Hepatic,Open,Supine,1
Chronic kidney disease ,Removal of continuous ambulatory peritoneal dialysis catheter,Vascular,Open,Supine,1
Carotid artery stenosis,Ligation and stripping,Vascular,Open,Supine,1
Leiomyosarcoma,Metastasectomy,Minor resection,Videoscopic,Right lateral decubitus,1
Morbid obesity,Partial gastrectomy,Stomach,Open,Supine,1
myxoid liposarcoma,Exploratory laparotomy,Others,Open,Supine,1
Cecal cancer,Incisional hernia repair,Colorectal,Open,Supine,1
Hepatocellular carcinoma,Endarterectomy,Vascular,Open,Supine,1
Myoma uteri ,Hysterectomy,Major resection,Videoscopic,Supine,1
Pancreatic disease,Partial pancreatectomy,Biliary/Pancreas,Robotic,Supine,1
Colon cancer,Extended hemicolectomy,Colorectal,Videoscopic,Lithotomy,1
Cecal cancer ,Anterior resection,Colorectal,Videoscopic,Lithotomy,1
Esophageal cancer,Mediastinal lymph node dissection,Others,Videoscopic,Supine,1
Colon cancer,Colostomy repair,Colorectal,Open,Lithotomy,1
Gastrointestinal stromal tumor of small intestine,Excision,Others,Open,Supine,1
Common bile duct stone without obstruction,Extended hemihepatectomy,Hepatic,Open,Supine,1
Pelvic mass ,Ovarian cystectomy,Major resection,Videoscopic,Lithotomy,1
Chronic pancreatitis,Pylorus preserving pancreaticoduodenectomy,Biliary/Pancreas,Open,Supine,1
Allergic contact dermatitis,Distal gastrectomy,Stomach,Videoscopic,Supine,1
"Atypical lobular hyperplasia, breast",Excision,Others,Open,Supine,1
Early gastric cancer,Total gastrectomy,Stomach,Open,Supine,1
Peritonitis ,Ileostomy,Others,Open,Supine,1
Early gastric cancer,Diagnostic laparoscopy,Others,Videoscopic,Supine,1
Pancreatic disease ,Pylorus preserving pancreaticoduodenectomy,Biliary/Pancreas,Open,Supine,1
Diverticulitis of intestine without bleeding,Hemicolectomy,Colorectal,Videoscopic,Supine,1
Autosomal recessive polycystic kidney disease,Removal of continuous ambulatory peritoneal dialysis catheter,Vascular,Open,Supine,1
Ileus,Total colectomy,Colorectal,Open,Lithotomy,1
"Neuroendocrine tumor of pancreas, G1",Spleen preserving distal pancreatectomy,Biliary/Pancreas,Videoscopic,Supine,1
Peripheral artery occlusive disease involving arteries below knee,Vascular bypass,Vascular,Open,Supine,1
Disorder of kidney and ureter,Nephrectomy,Major resection,Robotic,Right kidney,1
Open wound of chest wall,Cleaning of wound,Others,Open,Supine,1
"Gastrointestinal stromal tumor, malignant",Excision,Stomach,Open,Supine,1
Common bile duct cancer,Gastrojejunostomy,Stomach,Open,Supine,1
Hepatocellular carcinoma,Extended hemihepatectomy,Hepatic,Videoscopic,Supine,1
Metastatic cancer to the lung left,Metastasectomy,Minor resection,Videoscopic,Left lateral decubitus,1
Gastrointestinal hemorrhage,Small bowel segmental resection,Stomach,Videoscopic,Supine,1
Hepatic failure with coma,Liver transplantation,Transplantation,Open,Supine,1
"Gastric submucosal tumor, benign",Small bowel segmental resection,Stomach,Videoscopic,Supine,1
Metastatic cancer to the abdominal cavity,Excision,Others,Open,Lithotomy,1
"Cervical cancer, stage 2B",Metastasectomy,Minor resection,Videoscopic,Left lateral decubitus,1
Early gastric cancer,Pylorus preserving gastrectomy,Stomach,Videoscopic,Prone,1
"Embolism and thrombosis, vena cava",Resection of inferior vena cava,Vascular,Open,Supine,1
Bladder disease,Diagnostic laparoscopy,Others,Videoscopic,Supine,1
Bladder cancer,Transurethral resection of bladder tumor,Others,Videoscopic,Lithotomy,1
Interstitial lung disease,Biopsy,Minor resection,Videoscopic,Left lateral decubitus,1
Bony mass,Excision,Colorectal,Open,Prone,1
Atherosclerosis of lower limb with rest pain,Aortoiliac bypass,Vascular,Open,Supine,1
Borderline ovarian tumor unknown stage unspecified side,Exploratory laparotomy,Major resection,Open,Lithotomy,1
Liposarcoma,Peritoneal mass excision,Others,Videoscopic,Left lateral decubitus,1
Renal cell carcinoma,Excision,Others,Open,Lithotomy,1
Inguinal hernianot specified as recurrent,Hernia repair,Colorectal,Open,Supine,1
"Cervical cancer, stage 2B",Ileostomy repair,Colorectal,Open,Supine,1
"Ovarian cyst, right",Salpingo-oophorectomy,Minor resection,Videoscopic,Supine,1
Thymolipoma ,Thymectomy,Others,Videoscopic,Supine,1
Thyroid disease,Thyroid lobectomy,Thyroid,Open,Supine,1
Anal stricture ,Incision of rectal stricture,Colorectal,Open,Prone,1
Pelvic abscess ,Debridement of wound,Others,Open,Prone,1
Appendix mucocele ,Ileocecectomy,Colorectal,Open,Supine,1
Early gastric cancer,Exploratory laparotomy,Others,Open,Supine,1
Rectal disease,Excision,Others,Open,Prone,1
Anal cancer ,Liver segmentectomy,Hepatic,Open,Supine,1
Esophageal cancer,Ivor Lewis operation,Others,Robotic,Supine,1
empyema ,Empyemectomy,Minor resection,Open,Left lateral decubitus,1
Placenta previa totalis without hemorrhage ,Cesarean section,Others,Open,Supine,1
"Cholangiocarcinoma, extrahepatic",Hepatic hilar resection,Biliary/Pancreas,Open,Supine,1
Epithelial ovarian cancer unknown stage unspecified side,Exploratory laparotomy,Major resection,Open,Left lateral decubitus,1
Hepatocellular carcinoma,Metastasectomy,Minor resection,Videoscopic,Left lateral decubitus,1
Atherosclerosis obliterans,Femoro-popliteal bypass,Vascular,Open,Supine,1
"Abnormal chest X-ray, lung",Excision,Others,Videoscopic,Right lateral decubitus,1
Squamous cell carcinoma of small intestine,Small bowel segmental resection,Stomach,Videoscopic,Supine,1
Krukenberg tumor right,Oophorectomy,Colorectal,Open,Supine,1
"Gastrointestinal stromal tumor of jejunum, benign",Small bowel segmental resection,Stomach,Videoscopic,Supine,1
Lymph node metastasis,Regional lymph node dissection,Others,Open,Trendelenburg,1
Idiopathic thrombocytopenic purpura ,Splenectomy,Biliary/Pancreas,Videoscopic,Supine,1
Non-small cell lung cancer unspecified side,Lung lobectomy,Major resection,Videoscopic,Left lateral decubitus,1
Pyoderma gangrenosum,Splenectomy,Biliary/Pancreas,Videoscopic,Supine,1
Vesicoureteral reflux ,Macroplastique injection,Minor resection,Videoscopic,Lithotomy,1
"Neuroendocrine tumor of pancreas, G1",Distal pancreatectomy,Biliary/Pancreas,Videoscopic,Supine,1
Lung cancer left,Lung lobectomy,Major resection,Videoscopic,Supine,1
Metastatic cancer to the liver ,Liver segmentectomy,Hepatic,Videoscopic,Supine,1
Hereditary spherocytosis,Splenectomy,Biliary/Pancreas,Videoscopic,Right lateral decubitus,1
Biliary stricture,Hemihepatectomy,Hepatic,Videoscopic,Supine,1
"Atypical endometrial hyperplasia, complex",Hysterectomy,Major resection,Videoscopic,Supine,1
Appendix mucocele,Ileocecectomy,Colorectal,Open,Supine,1
Acute appendicitis with peritoneal abscess,Appendectomy,Colorectal,Videoscopic,Supine,1
Rectovaginal fistula ,Transplantation of gracilis muscle,Colorectal,Open,Prone,1
Ampulla of vater adenoma ,Transduodenal ampullectomy,Biliary/Pancreas,Videoscopic,Supine,1
Cervical cancer unknown stage,Sentinel lymph node mapping,Others,Robotic,Lithotomy,1
"Pulmonary tuberculosis, confirmed by unspecified means with cavitation",Lung lobectomy,Major resection,Videoscopic,Left lateral decubitus,1
Squamous cell carcinoma of lung right,Lung bilobectomy,Major resection,Videoscopic,Left lateral decubitus,1
Sarcoma,Intra-abdominal arterial bypass graft,Vascular,Open,Supine,1
"Colon cancer, hepatic flexure",Anterior resection,Colorectal,Videoscopic,Lithotomy,1
Esophageal cancer,Feeding jejunostomy,Others,Open,Supine,1
Neurogenic tumor,Excision,Others,Videoscopic,Right lateral decubitus,1
Colorectal polyp,Hemicolectomy,Colorectal,Open,Supine,1
"Lymph node metastasis, pelvic",Excision,Others,Open,Lithotomy,1
Ductal carcinoma in situ of breast,Breast-conserving surgery,Breast,Open,Supine,1
"Lymph node metastasis, inguinal",Debulking surgery,Others,Open,Lithotomy,1
Atherosclerosis obliterans,Embolectomy,Vascular,Open,Supine,1
