"dx","opname","optype","approach","position","count","ml_base_category","ml_confidence_pct","Level1_magnitude","Level2_domain","Level3_approach","Level4_subtype","Level5_modifiers","Level6_secondary_variables"
"Angiosarcoma","Metastasectomy","Minor resection","Videoscopic","Right lateral decubitus","1","Minor resection","75.0","Major","Thoracic","Laparoscopic","Other Procedure","Malignancy | Primary | Lateral Decubitus","Est.Duration:1-3hr"
"Carcinoid tumor of lung right","Excision","Others","Open","Left lateral decubitus","1","CraniTumorSkullBase","67.6","Minor","Neuro / Spine","Open","Craniotomy","Malignancy | Primary | Lateral Decubitus","Est.Duration:1-3hr"
"Colon obstruction","Hemicolectomy","Colorectal","Open","Lithotomy","1","Colorectal","69.8","Major","Abdominal / GI","Open","Colectomy / Bowel Resection","Benign/Non-malignant | Primary | Lithotomy","Est.Duration:2-4hr"
"Nontuberculous mycobacterial infection","Lung wedge resection","Minor resection","Videoscopic","Right lateral decubitus","1","Minor resection","65.6","Major","Thoracic","Laparoscopic","Thoracic Resection","Benign/Non-malignant | Primary | Lateral Decubitus","Est.Duration:2-4hr"
"Colon cancer, sigmoid","Hemihepatectomy","Hepatic","Open","Supine","1","Hepatic","69.7","Major","Abdominal / GI","Open","Hepatobiliary / Pancreatic Resection","Malignancy | Primary | Supine","Est.Duration:3-6hr"
"Esophageal hiatal hernia","Hernia repair","Stomach","Videoscopic","Lithotomy","1","Colorectal","65.8","Minor","Abdominal / GI","Laparoscopic","Gastric Resection","Benign/Non-malignant | Revision | Lithotomy","Est.Duration:<2hr"
"Rectal cancer","Ileostomy","Colorectal","Open","Supine","1","Colorectal","55.2","Major","Abdominal / GI","Open","Colectomy / Bowel Resection","Malignancy | Primary | Supine","Est.Duration:1-3hr"
"Pancreatic cancer","Pancreatosplenectomy","Biliary/Pancreas","Open","Supine","1","Biliary/Pancreas","75.4","Major","Abdominal / GI","Open","Hepatobiliary / Pancreatic Resection","Malignancy | Primary | Supine","Est.Duration:2-5hr"
"Colon cancer, sigmoid","Peritoneal mass excision","Others","Videoscopic","Lithotomy","1","Others","75.7","Major","Soft Tissue / Access / Misc","Laparoscopic","Other Procedure","Malignancy | Primary | Lithotomy","Est.Duration:1-3hr"
"Gastrointestinal stromal tumor","Lung wedge resection","Stomach","Open","Supine","1","Minor resection","68.4","Major","Thoracic","Open","Gastric Resection","Malignancy | Primary | Supine","Est.Duration:2-4hr"
"Hamartoma of lung right","Lung wedge resection","Minor resection","Videoscopic","Left lateral decubitus","1","Minor resection","71.6","Major","Thoracic","Laparoscopic","Thoracic Resection","Benign/Non-malignant | Primary | Lateral Decubitus","Est.Duration:2-4hr"
"Cervical cancer unknown stage","Biopsy","Others","Videoscopic","Left lateral decubitus","1","BiopsyMuscleNerve","57.6","Minor","Soft Tissue / Access / Misc","Laparoscopic","Access / Drainage Procedures","Malignancy | Primary | Lateral Decubitus","Est.Duration:<2hr"
"Crohn's disease moderate","Exploratory laparotomy","Others","Open","Supine","1","Others","72.3","Major","Soft Tissue / Access / Misc","Open","Other Procedure","Benign/Non-malignant | Primary | Supine","Est.Duration:2-4hr"
"Lymphadenitis","Selective neck dissection","Others","Open","Supine","1","Others","84.9","Major","ENT / Head & Neck","Open","Thyroid / Parathyroid","Benign/Non-malignant | Primary | Supine","Est.Duration:1-3hr"
"Pancreatic tail cancer","Distal pancreatectomy","Biliary/Pancreas","Open","Supine","1","Biliary/Pancreas","72.8","Major","Abdominal / GI","Open","Hepatobiliary / Pancreatic Resection","Malignancy | Primary | Supine","Est.Duration:2-4hr"
"Rectal cancer","Metastasectomy","Minor resection","Videoscopic","Left lateral decubitus","1","Minor resection","74.0","Major","Thoracic","Laparoscopic","Other Procedure","Malignancy | Primary | Lateral Decubitus","Est.Duration:1-3hr"
"Hemoptysis","Lung lobectomy","Major resection","Videoscopic","Left lateral decubitus","1","Major resection","77.1","Major","Thoracic","Laparoscopic","Thoracic Resection","Benign/Non-malignant | Primary | Lateral Decubitus","Est.Duration:2-4hr"
"Solitary fibrous tumor","Lung lobectomy","Major resection","Videoscopic","Left lateral decubitus","1","Major resection","67.7","Major","Thoracic","Laparoscopic","Thoracic Resection","Malignancy | Primary | Lateral Decubitus","Est.Duration:2-4hr"
"Tricuspid regurgitation","Bleeding control","Others","Open","Supine","1","Others","68.8","Minor","Soft Tissue / Access / Misc","Open","Other Procedure","Benign/Non-malignant | Primary | Supine","Est.Duration:1-3hr"
"Obesity","Partial gastrectomy","Stomach","Open","Supine","1","Stomach","90.5","Major","Abdominal / GI","Open","Gastric Resection","Benign/Non-malignant | Primary | Supine","Est.Duration:2-5hr"
"Atypical ductal hyperplasia, breast","Excision","Others","Open","Supine","1","PituitaryTSA","65.0","Minor","Neuro / Spine","Open","Other Procedure","Benign/Non-malignant | Primary | Supine","Est.Duration:1-3hr"
"Lung cancer unspecified side","Biopsy","Minor resection","Videoscopic","Right lateral decubitus","1","BiopsyMuscleNerve","57.9","Minor","Soft Tissue / Access / Misc","Laparoscopic","Access / Drainage Procedures","Malignancy | Primary | Lateral Decubitus","Est.Duration:<2hr"
"Antenatal care for high risk pregnancy","Modified Shirodkar operation","Others","Open","Lithotomy","1","Others","69.7","Minor","Soft Tissue / Access / Misc","Open","Other Procedure","Benign/Non-malignant | Primary | Lithotomy","Est.Duration:<2hr"
"Squamous cell papilloma","Transanal excision","Colorectal","Open","Prone","1","Colorectal","70.3","Minor","Abdominal / GI","Open","Colectomy / Bowel Resection","Benign/Non-malignant | Primary | Prone","Est.Duration:<2hr"
"Ampulla of vater cancer","Gastrojejunostomy","Stomach","Open","Supine","1","Stomach","69.6","Major","Abdominal / GI","Open","Gastric Resection","Malignancy | Primary | Supine","Est.Duration:2-4hr"
"Carcinoid tumor of lung right","Lung bilobectomy","Major resection","Videoscopic","Left lateral decubitus","1","Major resection","66.1","Major","Thoracic","Laparoscopic","Thoracic Resection","Malignancy | Primary | Lateral Decubitus","Est.Duration:2-5hr"
"Hepatocellular carcinoma","Mediastinal lymph node dissection","Others","Videoscopic","Supine","1","Others","90.5","Major","Soft Tissue / Access / Misc","Laparoscopic","Other Procedure","Malignancy | Primary | Supine","Est.Duration:1-3hr"
"kidney transplantation","Closure of arteriovenous fistula","Vascular","Open","Supine","1","Vascular","63.6","Minor","Vascular","Open","Vascular Reconstruction","Benign/Non-malignant | Primary | Supine","Est.Duration:1-3hr"
"Bladder cancer","Hernia repair","Colorectal","Open","Supine","1","Colorectal","72.1","Minor","Abdominal / GI","Open","Colectomy / Bowel Resection","Malignancy | Revision | Supine","Est.Duration:<2hr"
"Acute appendicitis with peritoneal abscess","Appendectomy","Colorectal","Open","Supine","1","Colorectal","59.3","Major","Abdominal / GI","Open","Colectomy / Bowel Resection","Benign/Non-malignant | Primary | Supine","Est.Duration:<2hr"
"Mediastinal mass","Excision","Others","Videoscopic","Left lateral decubitus","1","Others","56.4","Minor","Soft Tissue / Access / Misc","Laparoscopic","Other Procedure","Benign/Non-malignant | Primary | Lateral Decubitus","Est.Duration:1-3hr"
"Alcoholic hepatic failure without coma","Liver transplantation","Transplantation","Open","Supine","1","Transplantation","66.2","Major","Abdominal / GI","Open","Hepatobiliary / Pancreatic Resection","Benign/Non-malignant | Primary | Transplant/Reconstruction | Supine","Est.Duration:>6hr"
"Colon cancer, ascending","Metastasectomy","Minor resection","Videoscopic","Left lateral decubitus","1","Minor resection","67.7","Major","Thoracic","Laparoscopic","Other Procedure","Malignancy | Primary | Lateral Decubitus","Est.Duration:1-3hr"
"Pancreatic disease","Spleen preserving distal pancreatectomy","Biliary/Pancreas","Videoscopic","Supine","1","Biliary/Pancreas","83.0","Major","Abdominal / GI","Laparoscopic","Hepatobiliary / Pancreatic Resection","Benign/Non-malignant | Primary | Supine","Est.Duration:1-3hr"
"Rectal cancer","Transanal endoscopic microsurgery","Colorectal","Open","Prone","1","Colorectal","59.7","Minor","Abdominal / GI","Open","Colectomy / Bowel Resection","Malignancy | Primary | Prone","Est.Duration:1-3hr"
"Rectal cancer","Exploratory laparotomy","Others","Open","Prone","1","Others","79.8","Major","Soft Tissue / Access / Misc","Open","Other Procedure","Malignancy | Primary | Prone","Est.Duration:2-4hr"
"Pleural disease","Excision","Others","Videoscopic","Left lateral decubitus","1","CraniTumorSkullBase","68.5","Minor","Neuro / Spine","Laparoscopic","Craniotomy","Benign/Non-malignant | Primary | Lateral Decubitus","Est.Duration:1-3hr"
"Gastrointestinal stromal tumor of duodenum","Pylorus preserving pancreaticoduodenectomy","Biliary/Pancreas","Open","Supine","1","Biliary/Pancreas","73.7","Major","Abdominal / GI","Open","Hepatobiliary / Pancreatic Resection","Malignancy | Primary | Supine","Est.Duration:>6hr"
"Emphysema","Biopsy","Minor resection","Videoscopic","Right lateral decubitus","1","BiopsyMuscleNerve","73.4","Minor","Soft Tissue / Access / Misc","Laparoscopic","Access / Drainage Procedures","Benign/Non-malignant | Primary | Lateral Decubitus","Est.Duration:<2hr"
"Rectal cancer","Excision","Others","Open","Lithotomy","1","CraniTumorSkullBase","71.7","Minor","Neuro / Spine","Open","Craniotomy","Malignancy | Primary | Lithotomy","Est.Duration:1-3hr"
"Bladder cancer","Transurethral resection of bladder tumor","Minor resection","Videoscopic","Lithotomy","1","Minor resection","85.8","Minor","Urology","Laparoscopic","Cystoscopy / TURBT","Malignancy | Primary | Lithotomy","Est.Duration:<2hr"
"Cervical cancer unknown stage","Total hysterectomy","Major resection","Videoscopic","Lithotomy","1","Major resection","67.5","Major","Abdominal / GI","Laparoscopic","Other Procedure","Malignancy | Primary | Lithotomy","Est.Duration:2-4hr"
"Colonic polyp","Segmental resection of colon","Colorectal","Open","Supine","1","Colorectal","82.7","Major","Abdominal / GI","Open","Colectomy / Bowel Resection","Benign/Non-malignant | Primary | Supine","Est.Duration:2-4hr"
"Venous malformation","Ligation and stripping","Vascular","Open","Prone","1","Vascular","75.2","Minor","Vascular","Open","Vascular Reconstruction","Benign/Non-malignant | Primary | Prone","Est.Duration:1-3hr"
"Hepatocellular carcinoma","Hepaticojejunostomy","Biliary/Pancreas","Open","Supine","1","Biliary/Pancreas","70.5","Major","Abdominal / GI","Open","Hepatobiliary / Pancreatic Resection","Malignancy | Primary | Supine","Est.Duration:3-6hr"
"early gastric cancer","Distal gastrectomy","Stomach","Videoscopic","Supine","1","Stomach","72.0","Major","Abdominal / GI","Laparoscopic","Gastric Resection","Malignancy | Primary | Supine","Est.Duration:2-5hr"
"Focal nodular hyperplasia of liver","Liver segmentectomy","Hepatic","Videoscopic","Lithotomy","1","Hepatic","68.6","Major","Abdominal / GI","Laparoscopic","Hepatobiliary / Pancreatic Resection","Benign/Non-malignant | Primary | Lithotomy","Est.Duration:2-5hr"
"Retroperitoneal sarcoma","Excision","Others","Open","Lithotomy","1","CraniTumorSkullBase","72.8","Minor","Neuro / Spine","Open","Craniotomy","Malignancy | Primary | Lithotomy","Est.Duration:1-3hr"
"Pelvic mass","Debulking surgery","Major resection","Open","Lithotomy","1","Others","78.5","Major","Soft Tissue / Access / Misc","Open","Other Procedure","Benign/Non-malignant | Primary | Lithotomy","Est.Duration:2-5hr"
"Invasive bladder cancer","Transurethral resection of bladder tumor","Minor resection","Videoscopic","Lithotomy","1","Minor resection","80.5","Minor","Urology","Laparoscopic","Cystoscopy / TURBT","Malignancy | Primary | Lithotomy","Est.Duration:<2hr"
"Intracranial hemorrhage","Removal of continuous ambulatory peritoneal dialysis catheter","Vascular","Open","Supine","1","Vascular","60.2","Minor","Vascular","Open","Access / Drainage Procedures","Benign/Non-malignant | Primary | Supine","Est.Duration:<2hr"
"Right inguinal hernia","Hernia repair","Colorectal","Open","Lithotomy","1","Colorectal","55.2","Minor","Abdominal / GI","Open","Colectomy / Bowel Resection","Benign/Non-malignant | Revision | Lithotomy","Est.Duration:<2hr"
"Empyema without bronchopleural fistula","Exploration","Others","Videoscopic","Supine","1","Biliary/Pancreas","66.8","Minor","Abdominal / GI","Laparoscopic","Other Procedure","Benign/Non-malignant | Primary | Supine","Est.Duration:2-4hr"
"Condyloma acuminata","Excision","Colorectal","Open","Prone","1","CraniTumorSkullBase","70.2","Minor","Neuro / Spine","Open","Colectomy / Bowel Resection","Benign/Non-malignant | Primary | Prone","Est.Duration:1-3hr"
"Thymic cyst","Thymectomy","Others","Videoscopic","Supine","1","Others","71.6","Major","Soft Tissue / Access / Misc","Laparoscopic","Thoracic Resection","Benign/Non-malignant | Primary | Supine","Est.Duration:2-5hr"
"Deep vein thrombosis","Arteriovenous fistula thrombectomy","Vascular","Open","Supine","1","Vascular","80.1","Major","Vascular","Open","Vascular Reconstruction","Benign/Non-malignant | Primary | Supine","Est.Duration:2-4hr"
"Esophageal perforation","Decortication","Others","Videoscopic","Right lateral decubitus","1","Others","66.8","Major","Soft Tissue / Access / Misc","Laparoscopic","Thoracic Resection","Benign/Non-malignant | Primary | Lateral Decubitus","Est.Duration:3-6hr"
"Unspecified gastric cancer","Total gastrectomy","Stomach","Robotic","Supine","1","Stomach","68.1","Major","Abdominal / GI","Robotic","Gastric Resection","Malignancy | Primary | Supine","Est.Duration:2-5hr"
"Pseudomyxoma peritonei","Debulking surgery","Others","Open","Supine","1","Others","70.1","Major","Soft Tissue / Access / Misc","Open","Other Procedure","Benign/Non-malignant | Primary | Supine","Est.Duration:2-5hr"
"Adenocarcinoma of lung right","Lung wedge resection","Minor resection","Videoscopic","Left lateral decubitus","1","Minor resection","69.2","Major","Thoracic","Laparoscopic","Thoracic Resection","Malignancy | Primary | Lateral Decubitus","Est.Duration:2-4hr"
"Tracheostomy status","Metastasectomy","Minor resection","Videoscopic","Right lateral decubitus","1","Minor resection","69.4","Major","Thoracic","Laparoscopic","Other Procedure","Benign/Non-malignant | Primary | Lateral Decubitus","Est.Duration:1-3hr"
"Advanced gastric cancer","Pancreaticoduodenectomy","Biliary/Pancreas","Open","Supine","1","Biliary/Pancreas","73.4","Major","Abdominal / GI","Open","Hepatobiliary / Pancreatic Resection","Malignancy | Primary | Supine","Est.Duration:>6hr"
"Colorectal cancer","Total colectomy","Colorectal","Open","Right lateral decubitus","1","Colorectal","71.6","Major","Abdominal / GI","Open","Colectomy / Bowel Resection","Malignancy | Primary | Lateral Decubitus","Est.Duration:2-4hr"
"Rectovaginal fistula","Transanal excision","Colorectal","Open","Prone","1","Colorectal","72.0","Minor","Abdominal / GI","Open","Colectomy / Bowel Resection","Benign/Non-malignant | Primary | Prone","Est.Duration:<2hr"
"Unclassified endometrial cancer","Extended hysterectomy","Major resection","Open","Lithotomy","1","Major resection","68.6","Major","Abdominal / GI","Open","Other Procedure","Malignancy | Primary | Lithotomy","Est.Duration:2-4hr"
"Papillary thyroid adenoma","Thyroid lobectomy","Thyroid","Robotic","Supine","1","Thyroid","68.6","Major","ENT / Head & Neck","Robotic","Thyroid / Parathyroid","Benign/Non-malignant | Primary | Supine","Est.Duration:1-3hr"
"Epithelial ovarian cancer unknown stage","Staging laparotomy","Minor resection","Open","Lithotomy","1","Minor resection","64.1","Major","Abdominal / GI","Open","Other Procedure","Malignancy | Primary | Lithotomy","Est.Duration:2-5hr"
"Desmoid tumor in familial adenomatous polyposis","Excision","Others","Open","Supine","1","PituitaryTSA","63.5","Minor","Neuro / Spine","Open","Other Procedure","Malignancy | Primary | Supine","Est.Duration:1-3hr"
"Neuroendocrine tumor of rectum, G1","Transanal excision","Colorectal","Open","Prone","1","Colorectal","66.0","Minor","Abdominal / GI","Open","Colectomy / Bowel Resection","Malignancy | Primary | Prone","Est.Duration:<2hr"
"Ovarian cyst","Salpingo-oophorectomy","Minor resection","Videoscopic","Lithotomy","1","Minor resection","80.1","Major","Abdominal / GI","Laparoscopic","Other Procedure","Benign/Non-malignant | Primary | Lithotomy","Est.Duration:1-3hr"
"thymoma","Metastasectomy","Minor resection","Videoscopic","Left lateral decubitus","1","Minor resection","81.1","Major","Thoracic","Laparoscopic","Other Procedure","Benign/Non-malignant | Primary | Lateral Decubitus","Est.Duration:1-3hr"
"Breast cancer unspecified side","Breast-conserving surgery","Breast","Open","Reverse Trendelenburg","1","Breast","56.9","Major","ENT / Head & Neck","Open","Breast Surgery","Malignancy | Primary | Trendelenburg","Est.Duration:1-3hr"
"Thyroid nodule","Adrenalectomy","Others","Videoscopic","Left lateral decubitus","1","Others","72.1","Major","Abdominal / GI","Laparoscopic","Other Procedure","Benign/Non-malignant | Primary | Lateral Decubitus","Est.Duration:1-3hr"
"Colon cancer, transverse","Hemicolectomy","Colorectal","Videoscopic","Trendelenburg","1","Colorectal","66.3","Major","Abdominal / GI","Laparoscopic","Colectomy / Bowel Resection","Malignancy | Primary | Trendelenburg","Est.Duration:2-4hr"
"Small intestine perforation, nontraumatic","Exploratory laparotomy","Others","Open","Supine","1","Others","66.2","Major","Soft Tissue / Access / Misc","Open","Other Procedure","Benign/Non-malignant | Primary | Supine","Est.Duration:2-4hr"
"Rectal cancer","Excision","Colorectal","Open","Prone","1","CraniTumorSkullBase","71.7","Minor","Neuro / Spine","Open","Colectomy / Bowel Resection","Malignancy | Primary | Prone","Est.Duration:1-3hr"
"Malignant thymoma, type B1","Excision","Others","Videoscopic","Right lateral decubitus","1","Others","60.2","Minor","Soft Tissue / Access / Misc","Laparoscopic","Other Procedure","Malignancy | Primary | Lateral Decubitus","Est.Duration:1-3hr"
"Alcoholic liver cirrhosis without ascites","Liver transplantation","Transplantation","Open","Supine","1","Transplantation","68.2","Major","Abdominal / GI","Open","Hepatobiliary / Pancreatic Resection","Benign/Non-malignant | Primary | Transplant/Reconstruction | Supine","Est.Duration:>6hr"
"Colonic pseudoobstruction","Colostomy","Colorectal","Open","Supine","1","Colorectal","64.2","Major","Abdominal / GI","Open","Colectomy / Bowel Resection","Benign/Non-malignant | Primary | Supine","Est.Duration:<2hr"
